text,area,seniority,experience_years
"Senior software engineer. 11 years with Java Spring, Hibernate, Oracle, Kafka. Enterprise-level backend systems in banking and fintech.",Backend,Senior,11
"Senior Node.js engineer. Lideré la migración de monolito a microservicios. Docker, Kubernetes, Redis, Elasticsearch. Equipos distribuidos.",Backend,Senior,8
"Junior frontend developer with knowledge of HTML, CSS and JavaScript. Created responsive landing pages and small React components.",Frontend,Junior,1
"Estudiante de diseño web. HTML, CSS, JavaScript básico. Creación de páginas responsivas con Bootstrap y Flexbox.",Frontend,Junior,0
Junior React developer. Built simple SPAs with React and Context API. Consumed REST APIs and styled with TailwindCSS.,Frontend,Junior,1
"Practicante frontend. Trabajo con HTML, CSS, JavaScript y Vue.js básico. Corrección de bugs y mejoras de UI.",Frontend,Junior,1
"Self-taught frontend developer. Built personal projects with React, styled-components and REST API consumption.",Frontend,Junior,1
"Recién egresado. Proyecto de grado con Angular y TypeScript. Conexión a APIs REST, formularios reactivos y manejo de rutas.",Frontend,Junior,0
Junior developer con enfoque en React y Next.js. Trabajo en proyectos freelance de landing pages y sitios estáticos.,Frontend,Junior,1
"Frontend trainee. HTML, CSS, JavaScript, React básico. Pasantía en agencia digital. Creación de componentes de UI.",Frontend,Junior,1
"Junior frontend engineer. React, TypeScript, TailwindCSS. Integrated REST APIs, handled form validations, deployed on Vercel.",Frontend,Junior,2
"Desarrollador frontend junior. Vue.js, Vuex, HTML, CSS, SASS. Trabajo en equipo con metodologías ágiles, Git y revisión de código.",Frontend,Junior,1
"Frontend developer specialized in React, TailwindCSS and TypeScript. Built responsive interfaces connected to REST APIs.",Frontend,Mid,4
"Vue.js frontend engineer using Tailwind, Vite and TypeScript in SPA applications. 3 years of experience.",Frontend,Mid,3
"Desarrollador frontend mid-level. React, Redux Toolkit, TypeScript, Next.js. Optimización de performance, SEO y accesibilidad.",Frontend,Mid,4
"Angular developer with 4 years building enterprise dashboards. TypeScript, RxJS, NgRx, REST API integration.",Frontend,Mid,4
"Frontend engineer. React, Next.js, GraphQL, Styled Components. 4 years working in product teams with designers and backend engineers.",Frontend,Mid,4
"Desarrollador React con 3 años de experiencia. Redux, React Query, TailwindCSS, testing con Jest y React Testing Library.",Frontend,Mid,3
"Mid Vue.js developer. Vuex, Vue Router, Vite, Composition API. Built complex admin panels for SaaS platforms.",Frontend,Mid,3
"Frontend developer con experiencia en Angular, TypeScript y Material UI. Trabajo en proyectos enterprise con equipos ágiles.",Frontend,Mid,4
"React and Next.js developer. 4 years building e-commerce frontends. Performance optimization, Lighthouse scores, SSR/SSG.",Frontend,Mid,4
"Desarrollador frontend mid. Vue 3, Pinia, Vite, TypeScript, TailwindCSS. Trabajo en startups y proyectos freelance de mediana complejidad.",Frontend,Mid,3
"Senior frontend engineer with 8 years of experience. React, TypeScript, Next.js. Led frontend architecture migrations, mentored junior developers.",Frontend,Senior,8
"Lead frontend developer. 9 años con React, Vue, Angular. Definición de arquitectura frontend, Design Systems, mentoring de equipos.",Frontend,Senior,9
"Senior React engineer. Micro-frontends architecture, Module Federation, GraphQL, TypeScript, testing strategy. 8 years in product companies.",Frontend,Senior,8
"Frontend tech lead. 10 años liderando equipos. Arquitectura de aplicaciones complejas en Angular. Revisión de código, mentoring senior y definición de estándares.",Frontend,Senior,10
"Senior frontend developer specialized in performance optimization. React, Next.js, Webpack, Core Web Vitals. Reduced load times by 60%.",Frontend,Senior,7
"Junior DevOps with Linux basics, Git, Docker and server management. Learning CI/CD pipelines and cloud fundamentals.",DevOps,Junior,1
"Estudiante de sistemas con interés en DevOps. Practicas con Docker, Bash scripting y GitHub Actions en proyectos personales.",DevOps,Junior,0
"Junior Linux admin. Mantenimiento de servidores, scripts Bash, configuración de servicios Nginx. Aprendiendo Docker y Terraform.",DevOps,Junior,1
"DevOps trainee. Docker, Linux, GitHub Actions basics. Assisted senior engineers with deployments and monitoring setup.",DevOps,Junior,1
"Recién egresado interesado en DevOps. Experiencia con Docker Compose, scripts Bash y administración básica de servidores Ubuntu.",DevOps,Junior,1
"Junior cloud engineer. AWS fundamentals, EC2, S3, IAM. Basic Terraform scripts, Docker containerization for dev environments.",DevOps,Junior,1
"Pasante DevOps. Automatización de deploys con GitHub Actions, administración Linux, monitoreo con Grafana y Prometheus.",DevOps,Junior,1
"Linux administrator with experience using SSH, GitHub Actions and Docker deployments on VPS servers.",DevOps,Mid,4
"DevOps engineer. Docker, Kubernetes, AWS, Terraform. Manage CI/CD pipelines with Jenkins and GitHub Actions. Linux administration.",DevOps,Mid,5
"Ingeniero DevOps con 4 años de experiencia. Docker Compose, Kubernetes, Ansible, Terraform, pipelines CI/CD, monitoreo con Prometheus.",DevOps,Mid,4
"Cloud engineer. AWS (EC2, RDS, Lambda, EKS), Terraform, Docker, GitHub Actions. 4 years building cloud-native infrastructure.",DevOps,Mid,4
"DevOps mid-level. Administración de clusters Kubernetes, Helm charts, Nginx ingress, Grafana y ELK stack para monitoreo.",DevOps,Mid,3
"Site Reliability Engineer. Linux, Docker, Kubernetes, Terraform, Datadog. Automated deployments and incident response.",DevOps,Mid,4
"Especialista DevOps. Pipelines con GitLab CI, despliegues Blue-Green, Docker Swarm, gestión de secretos con Vault.",DevOps,Mid,5
"Azure DevOps engineer. Azure Pipelines, AKS, ARM Templates, Terraform, GitHub Actions. 4 years in enterprise environments.",DevOps,Mid,4
"Ingeniero de infraestructura cloud. AWS, Terraform, Ansible, Docker, Kubernetes. Automatización de aprovisionamiento y despliegue continuo.",DevOps,Mid,4
"Senior DevOps engineer with 8 years. Docker, Kubernetes, AWS, Terraform, Jenkins, Ansible. Led infrastructure automation for teams of 50+ engineers.",DevOps,Senior,8
"Arquitecto cloud senior. AWS, GCP, Terraform, Kubernetes, service mesh Istio. Liderazgo de migración de infraestructura on-premise a cloud.",DevOps,Senior,10
"Senior SRE. Defined SLOs, error budgets, incident management. Kubernetes, Terraform, Prometheus, Grafana, PagerDuty. 9 years.",DevOps,Senior,9
"Lead DevOps engineer. 10 años gestionando plataformas críticas. Multi-cloud AWS/Azure, Kubernetes, GitOps con ArgoCD, mentoring de equipos.",DevOps,Senior,10
"Senior platform engineer. Designed internal developer platforms using Backstage, Kubernetes, Terraform Cloud. Reduced deployment times by 80%.",DevOps,Senior,8
"CCNA student with knowledge of routing, switching, VLANs and Cisco network infrastructure. Experience configuring routers and switches.",Networking,Junior,1
"Estudiante de redes. Configuración básica de routers Cisco, switches, VLANs y protocolos TCP/IP. Cursando CCNA.",Networking,Junior,0
"Junior network technician. Configured Cisco routers and switches. VLAN setup, DHCP configuration, basic firewall rules.",Networking,Junior,1
"Técnico de redes junior. Instalación de cableado estructurado, configuración de switches Cisco y Mikrotik, soporte LAN/WAN.",Networking,Junior,1
"Egresado de telecomunicaciones. Configuración de routers Mikrotik, administración DNS/DHCP, soporte de conectividad para empresa local.",Networking,Junior,1
"Entry-level network engineer. CCNA coursework completed. Hands-on lab experience with Cisco IOS, routing protocols OSPF, RIP.",Networking,Junior,1
"Soporte técnico en empresa ISP. Configuración de routers domésticos, diagnóstico de conectividad, ticketing, soporte telefónico.",Networking,Junior,1
"Junior network support. Troubleshooting LAN issues, VLAN configuration on Cisco Catalyst switches, cable patching.",Networking,Junior,1
"Técnico junior redes. Mantenimiento de cableado estructurado, configuración de APs WiFi, administración de switches managed.",Networking,Junior,1
"Estudiante CCNA. Simulaciones en Packet Tracer, configuración de OSPF, VLANs, STP, SSH en equipos Cisco.",Networking,Junior,0
"Network administrator managing DNS, DHCP, firewalls and Mikrotik infrastructure. 5 years of experience.",Networking,Mid,5
"Administrador de redes Cisco. Configuración de routers, switches, VLANs, OSPF, BGP. Gestión de infraestructura de red empresarial.",Networking,Mid,5
"Network engineer with 4 years. Cisco routing and switching, firewall management (Fortinet, pfSense), VPN setup, network monitoring.",Networking,Mid,4
"Ingeniero de redes. Administración Cisco, Mikrotik, VLANs, QoS, BGP. Gestión de ISP regional con más de 1000 clientes.",Networking,Mid,5
"Network administrator. DNS, DHCP, VPN, firewall (pfSense, Cisco ASA). Managed campus network with 500+ endpoints.",Networking,Mid,4
"Especialista en infraestructura de red. Cisco IOS, OSPF, BGP, Mikrotik RouterOS. Diseño y mantenimiento de topologías LAN/WAN.",Networking,Mid,5
"Wireless network engineer. 4 years deploying Ubiquiti and Cisco Meraki networks. Hotspot management, RADIUS, captive portals.",Networking,Mid,4
"Administrador Mikrotik. CHR, RouterOS, BGP, OSPF, MPLS, gestión de ancho de banda, queues, firewall. ISP.",Networking,Mid,4
"Network operations center engineer. Monitoring with Zabbix, SNMP, troubleshooting BGP routing issues, incident management.",Networking,Mid,4
"Ingeniero de redes corporativas. Cisco Catalyst, Meraki, Fortinet. Segmentación VLAN, ACLs, políticas QoS y VPN IPSec.",Networking,Mid,5
"Senior network engineer with enterprise networking experience. Cisco routing, switching, BGP, MPLS, firewall policy design.",Networking,Senior,8
"Arquitecto de red senior. Diseño de topologías WAN/LAN para empresa multinacional. Cisco, Juniper, BGP, MPLS, SD-WAN.",Networking,Senior,10
"Senior network architect. BGP, MPLS, OSPF, SD-WAN, Fortinet security policies. Led network redesign for 3000+ user campus.",Networking,Senior,12
"Lead network engineer. 10 años diseñando y administrando redes complejas. Cisco, Juniper, Aruba. Mentoring de técnicos junior.",Networking,Senior,10
"Senior NOC engineer. Monitored and managed backbone network. BGP peering, DDoS mitigation, 99.99% uptime SLA.",Networking,Senior,9
"Junior data analyst using Python, Jupyter notebooks and SQL queries. Learning pandas, numpy and matplotlib.",Data Science,Junior,1
"Estudiante de ciencias de datos. Python, pandas, scikit-learn. Proyectos de análisis exploratorio y visualización de datos.",Data Science,Junior,0
Junior data scientist. Built regression and classification models with scikit-learn. Worked with CSV datasets and SQL databases.,Data Science,Junior,1
"Trainee en análisis de datos. Excel avanzado, SQL, Python básico. Dashboards en Power BI para reportes de ventas.",Data Science,Junior,1
"Recién egresado de estadística. Modelos predictivos con R y Python. Regresión lineal, árboles de decisión, validación cruzada.",Data Science,Junior,0
"Junior ML engineer. Built sentiment analysis pipeline using NLP, TF-IDF and Naive Bayes classifier. Python, scikit-learn.",Data Science,Junior,1
"Pasante de análisis de datos. SQL, pandas, matplotlib, seaborn. Limpieza y análisis de datasets para equipo de marketing.",Data Science,Junior,1
"Machine learning engineer using scikit-learn, pandas and NumPy for predictive analytics systems.",Data Science,Mid,4
"Data scientist con 4 años. Python, pandas, scikit-learn, XGBoost. Modelos de churn prediction, segmentación de clientes.",Data Science,Mid,4
"ML engineer. TensorFlow, Keras, scikit-learn. Built image classification models for manufacturing defect detection.",Data Science,Mid,4
"Científico de datos mid-level. Series temporales con Prophet y ARIMA. Análisis de datos financieros, visualizaciones con Plotly.",Data Science,Mid,4
"NLP engineer. 4 years building text classification, NER and summarization systems. spaCy, transformers (BERT), TF-IDF.",Data Science,Mid,4
"Data engineer with Python, Spark, Airflow, PostgreSQL. Building ETL pipelines and data lakes for analytics teams.",Data Science,Mid,4
"Analista de datos mid. SQL avanzado, Python, pandas, Power BI, Tableau. Reporting automatizado para dirección comercial.",Data Science,Mid,3
"Computer vision engineer. PyTorch, OpenCV, YOLO. Built object detection models for retail analytics applications.",Data Science,Mid,4
"Deep learning researcher using PyTorch, TensorFlow and computer vision techniques. 8 years of experience.",Data Science,Senior,8
"Senior ML engineer. Led development of recommendation systems serving 5M+ users. Spark, TensorFlow, MLflow, Kubeflow.",Data Science,Senior,8
"Principal data scientist. 10 años. NLP, LLM fine-tuning, RAG architectures. Liderazgo técnico de equipos de ciencia de datos.",Data Science,Senior,10
"Senior data engineer. Designed petabyte-scale data platforms using Spark, Kafka, Airflow, Databricks, Delta Lake.",Data Science,Senior,9
"Lead data scientist. Modelos de fraud detection en tiempo real. Feature engineering avanzado, XGBoost, LightGBM, MLflow.",Data Science,Senior,8
"Junior QA analyst performing manual testing, bug reporting and API testing with Postman.",QA,Junior,1
"Tester junior. Pruebas funcionales manuales, redacción de casos de prueba, seguimiento de defectos con Jira.",QA,Junior,1
"QA trainee. Manual testing of web applications, API testing with Postman, test case documentation.",QA,Junior,1
"Recién egresado interesado en QA. Testing manual, básico de Selenium, documentación de bugs, métricas de calidad.",QA,Junior,0
"Junior QA engineer. Basic Cypress E2E tests, manual regression testing, test plan writing. Worked in Scrum teams.",QA,Junior,1
"Analista QA junior. Pruebas de regresión, smoke testing, integración continua básica, reporte de defectos en GitLab.",QA,Junior,1
"QA automation engineer using Selenium, Cypress and Playwright for end-to-end testing.",QA,Mid,4
"Ingeniero QA con 4 años. Automatización con Selenium WebDriver, Python, pytest. Pipelines CI/CD con GitHub Actions.",QA,Mid,4
"QA engineer. Playwright, Cypress, Jest. API testing with Postman and RestAssured. Performance testing with JMeter.",QA,Mid,3
"QA automation mid. Framework de pruebas con Robot Framework, Selenium. Reportes con Allure. Integración con Jenkins.",QA,Mid,4
"SDET engineer. Automated regression testing for SaaS platform. TypeScript, Playwright, GitHub Actions, test pyramid strategy.",QA,Mid,4
"QA lead (mid). Coordinación del equipo de testing, definición de estrategias QA, automatización con Selenium y Python.",QA,Mid,5
"Senior QA engineer with 8 years. Defined testing strategies, automated test frameworks, led quality processes for 5+ product teams.",QA,Senior,8
"QA architect senior. Diseño de frameworks de automatización escalables. Selenium, Appium, Playwright, JMeter. Mentoring de equipos.",QA,Senior,9
"Senior SDET. 8 years. Shifted left testing culture, contract testing with Pact, performance testing, chaos engineering.",QA,Senior,8
"Estudiante de ciberseguridad. CTF competitions, Kali Linux básico, OWASP Top 10, análisis de vulnerabilidades web.",Seguridad,Junior,0
"Junior security analyst. Vulnerability scanning with Nessus, OWASP testing, basic penetration testing on labs.",Seguridad,Junior,1
"Trainee SOC. Monitoreo de alertas en SIEM, clasificación de incidentes, análisis básico de logs de red.",Seguridad,Junior,1
"Ethical hacking enthusiast. Completed CEH coursework. Burp Suite, Kali Linux, SQL injection and XSS testing in CTFs.",Seguridad,Junior,0
"Junior pentester. Pruebas de penetración en entornos controlados. Metasploit, Nmap, Wireshark, análisis de tráfico de red.",Seguridad,Junior,1
"Cybersecurity analyst with experience in penetration testing, OWASP and Kali Linux. 4 years of experience.",Seguridad,Mid,4
"Analista de seguridad informática. Pentesting, análisis de malware, respuesta a incidentes, SIEM (Splunk), Linux.",Seguridad,Mid,4
"SOC analyst. Threat hunting, SIEM management, malware analysis, incident response. 4 years in enterprise environments.",Seguridad,Mid,4
"Security engineer. Firewall management (Palo Alto, Fortinet), IDS/IPS, VPN administration, vulnerability management.",Seguridad,Mid,4
"Especialista en ciberseguridad. Auditorías de seguridad, pentesting web, análisis forense digital, gestión de cumplimiento ISO 27001.",Seguridad,Mid,5
"Application security engineer. SAST, DAST tools integration in CI/CD. Code review for security vulnerabilities, OWASP training.",Seguridad,Mid,4
"SOC analyst working with SIEM tools, malware analysis and incident response. 7 years of experience.",Seguridad,Senior,7
"Senior penetration tester. Red team operations, exploit development, social engineering. OSCP certified. 8 years.",Seguridad,Senior,8
"CISO adjunto. 10 años en ciberseguridad. Estrategia de seguridad, cumplimiento regulatorio, gestión de riesgos, SOC.",Seguridad,Senior,10
"Senior cloud security architect. AWS security, IAM policies, GuardDuty, Security Hub, Zero Trust architecture.",Seguridad,Senior,8
"Estudiante de diseño gráfico. Figma, Adobe XD, Photoshop, Illustrator. Proyectos de landing pages y branding universitario.",Diseño,Junior,0
"Junior UI/UX designer. Wireframing and prototyping in Figma. User research basics, usability testing, design handoff to developers.",Diseño,Junior,1
"Diseñador junior. Figma, Adobe XD, Illustrator. Creación de mockups y prototipos para aplicaciones móviles y web.",Diseño,Junior,1
"Graphic design trainee. Adobe suite (Photoshop, Illustrator, InDesign), social media content design, basic Figma skills.",Diseño,Junior,1
"UX designer in training. Completed Google UX Design Certificate. Figma prototypes, user journey maps, personas.",Diseño,Junior,0
"UI/UX designer using Figma, wireframes and prototyping for responsive interfaces. 3 years of experience.",Diseño,Mid,3
"Diseñadora UI/UX mid-level. Figma, Sketch, sistemas de diseño, Design Tokens, colaboración con equipos de desarrollo.",Diseño,Mid,4
"Product designer. 4 years creating end-to-end product design. User research, IA, wireframing, Figma, Maze usability testing.",Diseño,Mid,4
"UX researcher and designer. 3 años realizando entrevistas de usuario, pruebas de usabilidad, análisis de datos cualitativos.",Diseño,Mid,3
"Motion and UX designer. After Effects, Figma, Principle. Created interactive prototypes and microinteraction animations.",Diseño,Mid,3
"Senior product designer with 8 years. Led design systems initiatives, mentored junior designers, collaborated with C-suite stakeholders.",Diseño,Senior,8
"Head of design. 10 años liderando equipos de diseño. Design Systems, UX Strategy, branding corporativo, cultura de diseño.",Diseño,Senior,10
"Senior UX architect. 9 years defining information architecture, design principles and accessibility standards for large platforms.",Diseño,Senior,9
"Estudiante de desarrollo móvil. Android con Kotlin básico, proyectos universitarios de apps simples con Room y ViewModel.",Mobile,Junior,0
"Junior React Native developer. Built simple mobile apps consuming REST APIs. Navigation with React Navigation, styling basics.",Mobile,Junior,1
"Flutter trainee. Dart básico, widgets, navegación, consumo de APIs REST. Proyecto de app de lista de tareas publicada en Google Play.",Mobile,Junior,1
"Junior iOS developer. Swift, SwiftUI basics. Built a personal finance app as capstone project at bootcamp.",Mobile,Junior,1
"React Native developer. 4 years building cross-platform apps for iOS and Android. Redux, REST APIs, push notifications.",Mobile,Mid,4
"Desarrollador Android mid-level. Kotlin, Jetpack Compose, MVVM, Retrofit, Room, Coroutines. Apps publicadas en Google Play.",Mobile,Mid,4
"Flutter developer. 3 years. Dart, BLoC pattern, Firebase integration, custom animations, published on both stores.",Mobile,Mid,3
"iOS developer mid. Swift, UIKit, SwiftUI, Core Data, URLSession, MVVM. 4 years en startups de salud y fintech.",Mobile,Mid,4
"Senior React Native engineer. 8 years mobile development. Native modules, performance optimization, CI/CD with Fastlane.",Mobile,Senior,8
"Lead Android developer. 9 años. Kotlin, arquitectura modular, Hilt, Jetpack Compose. Liderazgo de equipo de 6 developers.",Mobile,Senior,9
"Senior iOS architect. Swift, SwiftUI, Combine, TDD. Designed scalable modular iOS app architecture for enterprise banking app.",Mobile,Senior,8
"Estudiante con conocimientos básicos de SQL. MySQL, consultas SELECT, JOIN, GROUP BY. Proyectos académicos con bases de datos relacionales.",Database,Junior,0
"Junior DBA trainee. MySQL, PostgreSQL basics, backup procedures, simple query optimization.",Database,Junior,1
"Desarrollador junior con manejo de bases de datos. PostgreSQL, MySQL, consultas complejas, procedimientos almacenados básicos.",Database,Junior,1
"Database administrator. PostgreSQL, MySQL, MongoDB. Query optimization, indexing, backup strategies, replication setup.",Database,Mid,4
"DBA mid-level. Oracle, PostgreSQL. Tuning de queries, particionamiento de tablas, administración de backups, alta disponibilidad.",Database,Mid,5
"Data engineer. PostgreSQL, BigQuery, Snowflake, dbt. Designed dimensional models and data warehouses for analytics.",Database,Mid,4
"MongoDB specialist. Aggregation pipelines, sharding, replica sets, schema design patterns, Atlas cloud management.",Database,Mid,3
"Senior DBA with 10 years. Oracle, PostgreSQL, MySQL. High availability, disaster recovery, performance tuning, capacity planning.",Database,Senior,10
"Arquitecto de datos senior. 9 años. PostgreSQL, Oracle, Snowflake, Kafka. Diseño de arquitecturas de datos para sistemas críticos.",Database,Senior,9
"Estudiante con interés en cloud. Cursando AWS Cloud Practitioner. EC2, S3, IAM básico en proyectos de laboratorio.",Cloud Computing,Junior,0
"Junior cloud engineer. AWS fundamentals, basic Terraform, S3 bucket management, EC2 setup for dev environments.",Cloud Computing,Junior,1
"Trainee cloud. Azure fundamentals certificado. Desplegando VMs, App Services, Azure Functions básico.",Cloud Computing,Junior,1
"AWS cloud engineer. EC2, RDS, Lambda, S3, CloudFormation, IAM. 4 years building and maintaining cloud infrastructure.",Cloud Computing,Mid,4
"Ingeniero cloud Azure. ARM Templates, Terraform, Azure DevOps, AKS, Azure Functions. 4 años en consultoría cloud.",Cloud Computing,Mid,4
"Multi-cloud engineer. AWS and GCP. Terraform, Kubernetes, cost optimization, auto-scaling, managed databases.",Cloud Computing,Mid,4
"Senior cloud architect. AWS, Terraform, Kubernetes. Designed multi-region active-active architectures for fintech platforms.",Cloud Computing,Senior,9
Lead cloud engineer. 10 años. AWS Solutions Architect Professional. Lideré migraciones cloud de sistemas legacy en empresas enterprise.,Cloud Computing,Senior,10
"Técnico de soporte nivel 1. Atención de tickets, soporte telefónico, resolución de incidencias de hardware y software.",Soporte Técnico,Junior,1
"IT support technician. Help desk, ticketing with ServiceNow, hardware troubleshooting, Windows and Office 365 support.",Soporte Técnico,Junior,1
"Soporte técnico junior en call center. Diagnóstico de problemas de conectividad, soporte a usuarios finales, sistema de tickets.",Soporte Técnico,Junior,1
"Desktop support technician. Windows installation, Active Directory basics, printer setup, network connectivity troubleshooting.",Soporte Técnico,Junior,1
"Estudiante de sistemas trabajando en soporte universitario. Mantenimiento de PCs, instalación de software, soporte a docentes.",Soporte Técnico,Junior,0
"Pasante en soporte TI. Gestión de inventario hardware, configuración de equipos nuevos, soporte nivel 1 presencial.",Soporte Técnico,Junior,1
"Junior IT support. Resolved hardware and software issues, managed user accounts in Active Directory, VPN setup.",Soporte Técnico,Junior,1
"Soporte técnico universitario. Mantenimiento de laboratorios de cómputo, instalación de software educativo, atención a estudiantes.",Soporte Técnico,Junior,1
"Entry-level IT technician. Remote desktop support, Outlook configuration, antivirus management, basic network troubleshooting.",Soporte Técnico,Junior,1
"Técnico PC freelance. Reparación de equipos, formateo, instalación de Windows, redes domésticas, recuperación de datos.",Soporte Técnico,Junior,2
"IT support specialist. 4 years managing helpdesk, Active Directory, Group Policy, Exchange, SCCM deployments.",Soporte Técnico,Mid,4
"Especialista soporte TI. Soporte nivel 2, administración Active Directory, Office 365, gestión de incidentes críticos.",Soporte Técnico,Mid,4
"Senior helpdesk analyst. ITIL certified. Managed SLAs, escalation procedures, knowledge base, vendor coordination.",Soporte Técnico,Mid,5
"IT field engineer. On-site support, network troubleshooting, server maintenance, backup verification, hardware upgrades.",Soporte Técnico,Mid,4
"Técnico TI senior. Soporte multinivel, administración de servidores Windows Server, Hyper-V, Active Directory, redes LAN/WAN.",Soporte Técnico,Mid,5
"Técnico junior de infraestructura. Instalación de servidores físicos, cableado estructurado, mantenimiento de rack.",Infraestructura,Junior,1
"Junior infrastructure technician. VMware basics, Windows Server installation, server racking and stacking.",Infraestructura,Junior,1
"Trainee infraestructura. Linux básico, administración de VMs en VMware vSphere, monitoreo con Zabbix.",Infraestructura,Junior,1
"Estudiante de sistemas con interés en infraestructura. Laboratorios con Proxmox, VMs Linux, redes básicas, SSH.",Infraestructura,Junior,0
"Junior sysadmin. Linux Ubuntu/CentOS administration, Apache/Nginx setup, user management, cron jobs, basic monitoring.",Infraestructura,Junior,1
"Infrastructure engineer. VMware vSphere, Windows Server, Linux, SAN storage, backup (Veeam), monitoring Zabbix.",Infraestructura,Mid,5
